N507,34 ST,40.749567,-73.98795
A025,34 ST,40.749567,-73.98795
N067,34 ST,40.749567,-73.98795
N065,34 ST,40.749567,-73.98795
N068,34 ST,40.749567,-73.98795
N070,34 ST,40.749567,-73.98795
N072,34 ST,40.749567,-73.98795
N071,34 ST,40.749567,-73.98795
N069,34 ST,40.749567,-73.98795
N073,34 ST,40.749567,-73.98795
R141,34 ST,40.749567,-73.98795
R135,34 ST,40.749567,-73.98795
R137,34 ST,40.749567,-73.98795
R139,34 ST,40.749567,-73.98795
R138,34 ST,40.749567,-73.98795
R142,34 ST,40.749567,-73.98795
C018,36 ST,40.655144,-74.003549
N312,36 ST,40.655144,-74.003549
N311,36 ST,40.655144,-74.003549
N537,4 AVE,40.670272,-73.989779
N503,42 ST,40.757308,-73.989735
N502,42 ST,40.757308,-73.989735
N504,42 ST,40.757308,-73.989735
R236,42 ST,40.757308,-73.989735
R233,42 ST,40.757308,-73.989735
R238,42 ST,40.757308,-73.989735
R237,42 ST,40.757308,-73.989735
R238A,42 ST,40.757308,-73.989735
R240,42 ST,40.757308,-73.989735
R237B,42 ST,40.757308,-73.989735
R241A,42 ST,40.757308,-73.989735
N062A,42 ST,40.757308,-73.989735
N060,42 ST,40.757308,-73.989735
N063A,42 ST,40.757308,-73.989735
N062,42 ST,40.757308,-73.989735
N063,42 ST,40.757308,-73.989735
R145,42 ST,40.757308,-73.989735
A021,42 ST,40.757308,-73.989735
R143,42 ST,40.757308,-73.989735
R146,42 ST,40.757308,-73.989735
R151,42 ST,40.757308,-73.989735
R148,42 ST,40.757308,-73.989735
R150,42 ST,40.757308,-73.989735
R153,42 ST,40.757308,-73.989735
R147,42 ST,40.757308,-73.989735
C019,45 ST,40.648939,-74.010006
N316,46 ST,40.756312,-73.913333
N316A,46 ST,40.756312,-73.913333
N317,46 ST,40.756312,-73.913333
R519,46 ST,40.756312,-73.913333
R520,46 ST,40.756312,-73.913333
N500,47-50 ST-ROCK,40.758663,-73.981329
N501,47-50 ST-ROCK,40.758663,-73.981329
N501A,47-50 ST-ROCK,40.758663,-73.981329
A015,49 ST-7 AVE,40.759901,-73.984139
A013,49 ST-7 AVE,40.759901,-73.984139
A014,49 ST-7 AVE,40.759901,-73.984139
A016,49 ST-7 AVE,40.759901,-73.984139
